1.0231e+09,-81.441
1.0307e+09,-82.133
1.0226e+09,-82.096
1.017e+09,-81.487
1.0244e+09,-81.888
1.0278e+09,-80.988
1.0182e+09,-81.257
1.0231e+09,-80.052
1.0267e+09,-81.302
1.0284e+09,-81.692
1.0253e+09,-81.219
1.0273e+09,-81.322
1.016e+09,-81.009
1.0277e+09,-82.273
1.027e+09,-82.024
1.0254e+09,-81.154
1.0219e+09,-82.317
1.0228e+09,-80.754
1.0196e+09,-81.103
1.0277e+09,-82.387
1.0211e+09,-80.424
1.024e+09,-81.639
1.028e+09,-82.124
1.017e+09,-80.885
1.0258e+09,-81.052
1.0177e+09,-81.795
1.014e+09,-81.973
1.0218e+09,-80.631
1.0152e+09,-81.911
1.0138e+09,-81.319
1.0254e+09,-82.76
1.0254e+09,-81.809
1.0306e+09,-82.199
1.0256e+09,-82.369
1.0286e+09,-81.414
1.0273e+09,-81.472
1.0262e+09,-80.889
1.0231e+09,-80.95
1.0252e+09,-81.86
1.0211e+09,-81.981
1.019e+09,-80.817
1.0193e+09,-81.153
1.0219e+09,-81.483
1.0139e+09,-81.559
1.0183e+09,-81.014
1.024e+09,-82.02
1.0139e+09,-81.853
1.0266e+09,-82.239
1.0325e+09,-82.595
1.0213e+09,-81.462
1.019e+09,-81.865
1.025e+09,-81.753
1.0201e+09,-80.349
1.0314e+09,-81.192
1.0355e+09,-81.29
1.0247e+09,-81.119
1.0133e+09,-81.313
1.0242e+09,-82.031
1.0156e+09,-82.575
1.0263e+09,-81.151
1.0286e+09,-82.142
1.0254e+09,-81.562
1.0154e+09,-81.102
1.026e+09,-81.408
1.0221e+09,-81.848
1.024e+09,-81.409
1.019e+09,-82.703
1.0202e+09,-80.114
1.0188e+09,-81.104
1.0236e+09,-80.896
1.0176e+09,-81.357
1.0306e+09,-82.181
1.021e+09,-81.625
1.0273e+09,-81.105
1.0225e+09,-81.995
1.0323e+09,-80.776
1.0253e+09,-80.359
1.024e+09,-81.305
1.0144e+09,-81.511
1.0195e+09,-80.957
1.0174e+09,-83.134
1.0187e+09,-81.613
1.0272e+09,-82.274
1.0236e+09,-81.157
1.0327e+09,-81.637
1.031e+09,-81.023
1.03e+09,-81.999
1.0234e+09,-81.898
1.0177e+09,-81.096
1.0189e+09,-81.499
1.0228e+09,-81.361
1.0124e+09,-81.653
1.0338e+09,-80.994
1.0171e+09,-81.307
1.0236e+09,-80.89
1.0179e+09,-81.531
1.0169e+09,-81.862
1.026e+09,-81.785
1.0293e+09,-81.166
1.0183e+09,-81.638
1.0204e+09,-82.156
